"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Jonathan Taylor",IND,"RB1","14","3 out of 5 stars","0"
"2",1,"Christian McCaffrey",CAR,"RB2","13","3 out of 5 stars","+1"
"3",1,"Austin Ekeler",LAC,"RB3","8","2 out of 5 stars","-1"
"4",1,"Justin Jefferson",MIN,"WR1","7","2 out of 5 stars","+2"
"5",1,"Dalvin Cook",MIN,"RB4","7","4 out of 5 stars","+2"
"6",1,"Cooper Kupp",LAR,"WR2","7","2 out of 5 stars","-2"
"7",1,"Derrick Henry",TEN,"RB5","6","4 out of 5 stars","-2"
"8",2,"Ja'Marr Chase",CIN,"WR3","10","3 out of 5 stars","+1"
"9",2,"Najee Harris",PIT,"RB6","9","3 out of 5 stars","-1"
"10",2,"Joe Mixon",CIN,"RB7","10","3 out of 5 stars","0"
"11",2,"Stefon Diggs",BUF,"WR4","7","4 out of 5 stars","+1"
"12",2,"Travis Kelce",KC,"TE1","8","3 out of 5 stars","+1"
"13",2,"D'Andre Swift",DET,"RB8","6","4 out of 5 stars","+1"
"14",2,"Davante Adams",LV,"WR5","6","2 out of 5 stars","-3"
"15",3,"Alvin Kamara",NO,"RB9","14","3 out of 5 stars","+2"
"16",3,"Saquon Barkley",NYG,"RB10","9","3 out of 5 stars","+4"
"17",3,"CeeDee Lamb",DAL,"WR6","9","3 out of 5 stars","+1"
"18",3,"Aaron Jones",GB,"RB11","14","3 out of 5 stars","-2"
"19",3,"Leonard Fournette",TB,"RB12","11","2 out of 5 stars","+6"
"20",3,"Nick Chubb",CLE,"RB13","9","3 out of 5 stars","-5"
"21",3,"Deebo Samuel",SF,"WR7","9","3 out of 5 stars","-2"
"22",3,"Mark Andrews",BAL,"TE2","10","2 out of 5 stars","+2"
"23",3,"Javonte Williams",DEN,"RB14","9","3 out of 5 stars","-2"
"24",3,"Mike Evans",TB,"WR8","11","4 out of 5 stars","+2"
"25",3,"Tyreek Hill",MIA,"WR9","11","2 out of 5 stars","-2"
"26",4,"A.J. Brown",PHI,"WR10","7","4 out of 5 stars","+2"
"27",4,"Keenan Allen",LAC,"WR11","8","3 out of 5 stars","0"
"28",4,"James Conner",ARI,"RB15","13","2 out of 5 stars","+3"
"29",4,"Tee Higgins",CIN,"WR12","10","3 out of 5 stars","+1"
"30",4,"Michael Pittman Jr.",IND,"WR13","14","4 out of 5 stars","+6"
"31",4,"Ezekiel Elliott",DAL,"RB16","9","4 out of 5 stars","-2"
"32",4,"Josh Allen",BUF,"QB1","7","3 out of 5 stars","-10"
"33",4,"DJ Moore",CAR,"WR14","13","3 out of 5 stars","+7"
"34",4,"Kyle Pitts",ATL,"TE3","14","2 out of 5 stars","-1"
"35",4,"Breece Hall",NYJ,"RB17","10","4 out of 5 stars","+3"
"36",4,"Travis Etienne Jr.",JAC,"RB18","11","3 out of 5 stars","+8"
"37",4,"Mike Williams",LAC,"WR15","8","3 out of 5 stars","+10"
"38",4,"Cam Akers",LAR,"RB19","7","2 out of 5 stars","-6"
"39",5,"Courtland Sutton",DEN,"WR16","9","4 out of 5 stars","+12"
"40",5,"Diontae Johnson",PIT,"WR17","9","4 out of 5 stars","+1"
"41",5,"Jaylen Waddle",MIA,"WR18","11","2 out of 5 stars","-2"
"42",5,"David Montgomery",CHI,"RB20","14","5 out of 5 stars","-7"
"43",5,"Terry McLaurin",WAS,"WR19","14","4 out of 5 stars","0"
"44",5,"Justin Herbert",LAC,"QB2","8","3 out of 5 stars","-7"
"45",5,"J.K. Dobbins",BAL,"RB21","10","4 out of 5 stars","+16"
"46",5,"Brandin Cooks",HOU,"WR20","6","3 out of 5 stars","+14"
