rank,name,pos,team
70,Gabe Davis,WR,BUF
71,T.J. Hockenson,TE,DET
72,Darnell Mooney,WR,CHI
73,Damien Harris,RB,NE
74,Russell Wilson,QB,DEN
75,Miles Sanders,RB,PHI
76,Kareem Hunt,RB,CLE
77,Rashod Bateman,WR,BAL
78,Dallas Goedert,TE,PHI
79,Chase Edmonds,RB,MIA
80,Cordarrelle Patterson,RB,ATL
81,Tom Brady,QB,TB
82,DeAndre Hopkins,WR,ARI
83,Dameon Pierce,RB,HOU
84,Tony Pollard,RB,DAL
85,Devin Singletary,RB,BUF
86,Hunter Renfrow,WR,LV
87,DeVonta Smith,WR,PHI
88,Rashaad Penny,RB,SEA
89,Dawson Knox,TE,BUF
90,Allen Lazard,WR,GB
91,Elijah Moore,WR,NYJ
92,Kenneth Walker,RB,SEA
93,Drake London,WR,ATL
94,Dak Prescott,QB,DAL
95,Brandon Aiyuk,WR,SF
96,Rhamondre Stevenson,RB,NE
97,Aaron Rodgers,QB,GB
98,Zach Ertz,TE,ARI
99,Chris Olave,WR,NO
100,Melvin Gordon,RB,DEN
101,Buffalo Bills,DEF,BUF
102,James Cook,RB,BUF
103,Christian Kirk,WR,JAX
104,Tyler Lockett,WR,SEA
105,Trey Lance,QB,SF
106,Treylon Burks,WR,TEN
107,Robert Woods,WR,TEN
108,Matthew Stafford,QB,LAR
109,Pat Freiermuth,TE,PIT
110,Chase Claypool,WR,PIT
111,Kadarius Toney,WR,NYG
112,James Robinson,RB,JAX
113,Skyy Moore,WR,KC
114,Michael Carter,RB,NYJ
115,Alexander Mattison,RB,MIN
116,George Pickens,WR,PIT
117,Tampa Bay Buccaneers,DEF,TB
118,Darrell Henderson,RB,LAR
119,Cole Kmet,TE,CHI
120,Garrett Wilson,WR,NYJ
121,Los Angeles Rams,DEF,LAR
122,Nyheim Hines,RB,IND
123,Derek Carr,QB,LV
124,Marquez Valdes-Scantling,WR,KC
125,Julio Jones,WR,TB
126,Mike Gesicki,TE,MIA
127,San Francisco 49ers,DEF,SF
128,Tyler Boyd,WR,CIN
129,Kenneth Gainwell,RB,PHI
130,Michael Gallup,WR,DAL
131,Kirk Cousins,QB,MIN
132,Isaiah Spiller,RB,LAC
133,Dallas Cowboys,DEF,DAL
134,Baltimore Ravens,DEF,BAL
135,Justin Tucker,K,BAL
136,Evan McPherson,K,CIN
137,Harrison Butker,K,KC
138,Brian Robinson,RB,WAS
139,Daniel Carlson,K,LV
140,Hunter Henry,TE,NE
141,Romeo Doubs,WR,GB
142,DeVante Parker,WR,NE
143,Jarvis Landry,WR,NO
144,Isiah Pacheco,RB,KC
145,Tyler Allgeier,RB,ATL
146,Tyler Bass,K,BUF
147,Matt Gay,K,LAR
148,Indianapolis Colts,DEF,IND
149,Rachaad White,RB,TB
150,Khalil Herbert,RB,CHI
151,Los Angeles Chargers,DEF,LAC
152,Albert Okwuegbunam,TE,DEN
153,Jamaal Williams,RB,DET
154,Jahan Dotson,WR,WAS
155,Tua Tagovailoa,QB,MIA
156,Rondale Moore,WR,ARI
157,David Njoku,TE,CLE
158,New Orleans Saints,DEF,NO
159,Matt Prater,K,ARI
160,New England Patriots,DEF,NE
161,Denver Broncos,DEF,DEN
162,Justin Fields,QB,CHI
163,Raheem Mostert,RB,MIA
164,Zamir White,RB,LV
165,Green Bay Packers,DEF,GB
166,Brandon McManus,K,DEN
167,Russell Gage,WR,TB
168,DJ Chark,WR,DET
169,Tyler Higbee,TE,LAR
170,Trevor Lawrence,QB,JAX
171,Mark Ingram,RB,NO
172,Christian Watson,WR,GB
173,J.D. McKissic,RB,WAS
174,Younghoe Koo,K,ATL
175,Jameson Williams,WR,DET
176,Irv Smith,TE,MIN
177,Jakobi Meyers,WR,NE
178,Mecole Hardman,WR,KC
179,Rodrigo Blankenship,K,IND
180,Kenny Golladay,WR,NYG
181,Ryan Succop,K,TB
182,Ronald Jones,RB,KC
183,Isaiah McKenzie,WR,BUF
184,Mike Davis,RB,BAL
185,Cleveland Browns,DEF,CLE
186,Jameis Winston,QB,NO
187,Joshua Palmer,WR,LAC
188,Nico Collins,WR,HOU
189,Pittsburgh Steelers,DEF,PIT
190,Wan'Dale Robinson,WR,NYG
191,Nick Folk,K,NE
192,Matt Ryan,QB,IND
193,K.J. Osborn,WR,MIN
194,Robert Tonyan,TE,GB
195,Chuba Hubbard,RB,CAR
196,Sammy Watkins,WR,GB
197,D'Onta Foreman,RB,CAR
198,Jalen Tolbert,WR,DAL
199,Alec Pierce,WR,IND
200,Deshaun Watson,QB,CLE
201,Tyrion Davis-Price,RB,SF
202,Gerald Everett,TE,LAC
203,Odell Beckham,WR,QUES
204,Noah Fant,TE,SEA
205,Marlon Mack,RB,HOU
206,Philadelphia Eagles,DEF,PHI
207,Jeff Wilson,RB,SF
208,Eno Benjamin,RB,ARI
209,KJ Hamler,WR,DEN
210,Wil Lutz,K,NO
211,Baker Mayfield,QB,CAR
212,Robbie Gould,K,SF
213,Mac Jones,QB,NE
214,Marvin Jones,WR,JAX
215,Austin Hooper,TE,TEN
216,Hayden Hurst,TE,CIN
217,Gus Edwards,RB,BAL
218,Evan Engram,TE,JAX
219,Robbie Anderson,WR,CAR
220,Van Jefferson,WR,LAR
221,Darrel Williams,RB,ARI
222,Cincinnati Bengals,DEF,CIN
223,Tennessee Titans,DEF,TEN
224,Miami Dolphins,DEF,MIA
225,Dontrell Hilliard,RB,TEN
226,Jerick McKinnon,RB,KC
227,Kyle Rudolph,TE,TB
228,Kenny Pickett,QB,PIT
229,Kenyan Drake,RB,BAL
230,Samaje Perine,RB,CIN
231,Randall Cobb,WR,GB
232,Parris Campbell,WR,IND
233,Taysom Hill,TE,NO
234,A.J. Green,WR,ARI
235,Ryan Tannehill,QB,TEN
236,Sony Michel,RB,LAC
237,Donovan Peoples-Jones,WR,CLE
238,David Bell,WR,CLE
239,Hassan Haskins,RB,TEN
240,Curtis Samuel,WR,WAS
241,Daniel Jones,QB,NYG
242,Cameron Brate,TE,TB
243,Zach Wilson,QB,NYJ
244,Tre Nixon,WR,NE
245,Kaylon Geiger,WR,TB
246,Sincere McCormick,RB,LV
247,Jake Tonges,TE,CHI
248,Ryan Griffin,QB,TB
249,Mike Thomas,WR,CIN
250,Tucker McCann,K,QUES
251,Daniel Brown,TE,QUES
252,Juwann Winfree,WR,GB
253,Kevin Austin,WR,JAX
254,Jalen Virgil,WR,DEN
255,Raheem Blackshear,RB,BUF
256,Reid Sinnett,QB,PHI
257,Justin Rigg,TE,PIT
258,Trace McSorley,QB,ARI
259,Paul Quessenberry,TE,HOU
260,Tom Kennedy,WR,DET
261,Zander Horvath,RB,LAC
262,Parker Hesse,TE,ATL
263,Chris Boswell,K,PIT
264,Derek Watt,RB,PIT
265,Houston Texans,DEF,HOU
266,Josh Johnson,RB,SEA
267,Greg Dortch,WR,ARI
268,Mike Glennon,QB,QUES
269,Quinn Nordin,K,PUP
270,Ameer Abdullah,RB,LV
271,Nathan Peterman,QB,CHI
272,Jeremy Sprinkle,TE,QUES
273,Las Vegas Raiders,DEF,LV
274,Joshua Kelley,RB,LAC
275,James McCourt,K,JAX
276,Tyler Goodson,RB,GB
277,Donte Sylencieux,WR,QUES
278,Jason Cabinda,RB,DET
279,Blake Bortles,QB,NO
280,Washington Commanders,DEF,WAS
281,Seattle Seahawks,DEF,SEA
282,New York Jets,DEF,NYJ
283,New York Giants,DEF,NYG
284,Jacksonville Jaguars,DEF,JAX
285,Atlanta Falcons,DEF,ATL
286,Arizona Cardinals,DEF,ARI
287,Dwayne Harris,WR,QUES
288,Stone Smartt,TE,LAC
289,Nick Muse,TE,MIN
290,Andrew Ogletree,TE,IND
291,Ko Kieft,TE,TB
292,Montrell Washington,WR,DEN
293,Chase Garbers,QB,LV
294,Ty Chandler,RB,MIN
295,Isaiah Weston,WR,CLE
296,Teagan Quitoriano,TE,HOU
297,Greg Bell,RB,IR
298,Daniel Bellinger,TE,NYG
299,Kevin Harris,RB,NE
300,ZaQuandre White,RB,MIA
