rank,name,pos,team
1,Jonathan Taylor,RB,IND
2,Christian McCaffrey,RB,CAR
3,Derrick Henry,RB,TEN
4,Austin Ekeler,RB,LAC
5,Dalvin Cook,RB,MIN
6,Najee Harris,RB,PIT
7,Cooper Kupp,WR,LAR
8,Justin Jefferson,WR,MIN
9,Joe Mixon,RB,CIN
10,Ja'Marr Chase,WR,CIN
11,Davante Adams,WR,LV
12,D'Andre Swift,RB,DET
13,Alvin Kamara,RB,NO
14,Travis Kelce,TE,KC
15,Stefon Diggs,WR,BUF
16,Nick Chubb,RB,CLE
17,Saquon Barkley,RB,NYG
18,Aaron Jones,RB,GB
19,CeeDee Lamb,WR,DAL
20,Tyreek Hill,WR,MIA
21,Javonte Williams,RB,DEN
22,Josh Allen,QB,BUF
23,Deebo Samuel,WR,SF
24,Mark Andrews,TE,BAL
25,Leonard Fournette,RB,TB
26,Mike Evans,WR,TB
27,A.J. Brown,WR,PHI
28,Ezekiel Elliott,RB,DAL
29,James Conner,RB,ARI
30,Keenan Allen,WR,LAC
31,Kyle Pitts,TE,ATL
32,Patrick Mahomes,QB,KC
33,Michael Pittman,WR,IND
34,Tee Higgins,WR,CIN
35,Justin Herbert,QB,LAC
36,George Kittle,TE,SF
37,David Montgomery,RB,CHI
38,Cam Akers,RB,LAR
39,Travis Etienne,RB,JAX
40,Breece Hall,RB,NYJ
41,Terry McLaurin,WR,WAS
42,DJ Moore,WR,CAR
43,Mike Williams,WR,LAC
44,Courtland Sutton,WR,DEN
45,Josh Jacobs,RB,LV
46,Lamar Jackson,QB,BAL
47,Diontae Johnson,WR,PIT
48,Darren Waller,TE,LV
49,Jaylen Waddle,WR,MIA
50,DK Metcalf,WR,SEA
51,Jerry Jeudy,WR,DEN
52,J.K. Dobbins,RB,BAL
53,Allen Robinson,WR,LAR
54,Elijah Mitchell,RB,SF
55,Antonio Gibson,RB,WAS
56,Kyler Murray,QB,ARI
57,AJ Dillon,RB,GB
58,Marquise Brown,WR,ARI
59,Brandin Cooks,WR,HOU
60,Joe Burrow,QB,CIN
61,Dalton Schultz,TE,DAL
62,Clyde Edwards-Helaire,RB,KC
63,Jalen Hurts,QB,PHI
64,Chris Godwin,WR,TB
65,Amon-Ra St. Brown,WR,DET
66,Amari Cooper,WR,CLE
67,Michael Thomas,WR,NO
68,Adam Thielen,WR,MIN
69,JuJu Smith-Schuster,WR,KC
