pos,player,opp,status,points,year,week,team,team_score,team_away,team_away_score,team_manager,team_away_manager
QB,C. Palmer,@DET,L 23-35,8.92,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Tobsenheimi
RB,L. Bell,@CLE,W 21-18,4.7,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Tobsenheimi
RB,D. Cook,NO,W 29-19,13.7,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Tobsenheimi
WR,J. Nelson,SEA,W 17-9,13.9,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Tobsenheimi
WR,D. Thomas,LAC,W 24-21,6.7,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Tobsenheimi
TE,T. Kelce,@NE,W 42-27,4.4,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Tobsenheimi
FLEX,E. Elliott,NYG,W 19-3,14,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Tobsenheimi
K,M. Prater,ARI,W 35-23,7,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Tobsenheimi
DEF,Rams DEF,IND,W 46-9,30,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Tobsenheimi
BN,D. Martin,BYE,BYE,0,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Tobsenheimi
BN,K. Allen,@DEN,L 21-24,9.5,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Tobsenheimi
BN,M. Bryant,@CLE,W 21-18,1.4,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Tobsenheimi
BN,T. Coleman,@CHI,W 23-17,5.8,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Tobsenheimi
BN,D. Henry,LV,L 16-26,2.5,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Tobsenheimi
BN,K. Hunt,@NE,W 42-27,40.6,2017,1,Le'Veon A Prayer,103.32,Kung Suh Panda,56.84,Hubner,Tobsenheimi
QB,A. Rodgers,SEA,W 17-9,16.54,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Tobsenheimi,Hubner
RB,D. Murray,LV,L 16-26,6,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Tobsenheimi,Hubner
RB,B. Powell,@BUF,L 12-21,3.9,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Tobsenheimi,Hubner
WR,J. Jones,@CHI,W 23-17,6.6,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Tobsenheimi,Hubner
WR,A. Jeffery,@WAS,W 30-17,5.8,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Tobsenheimi,Hubner
TE,T. Eifert,BAL,L 0-20,0.4,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Tobsenheimi,Hubner
FLEX,I. Crowell,PIT,L 18-21,8.6,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Tobsenheimi,Hubner
K,S. Gostkowski,KC,L 27-42,8,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Tobsenheimi,Hubner
DEF,Patriots DEF,KC,L 27-42,1,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Tobsenheimi,Hubner
BN,M. Bennett,KC,L 27-42,4.3,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Tobsenheimi,Hubner
BN,C. Newton,@SF,W 23-3,13.14,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Tobsenheimi,Hubner
BN,L. Miller,JAX,L 7-29,9.6,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Tobsenheimi,Hubner
BN,T. Hill,@NE,W 42-27,19.8,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Tobsenheimi,Hubner
BN,C. Carson,@GB,L 9-17,4.9,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Tobsenheimi,Hubner
BN,Cardinals DEF,@DET,L 23-35,8,2017,1,Kung Suh Panda,56.84,Le'Veon A Prayer,103.32,Tobsenheimi,Hubner
QB,B. Roethlisberger,@CLE,W 21-18,15.72,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files
RB,T. Gurley,IND,W 46-9,15.6,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files
RB,D. Johnson,@DET,L 23-35,7,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files
WR,D. Bryant,NYG,W 19-3,4.3,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files
WR,A. Robinson,@HOU,W 29-7,1.7,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files
TE,D. Walker,LV,L 16-26,7.6,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files
FLEX,M. Ingram,@MIN,L 19-29,7.1,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files
K,S. Hauschka,NYJ,W 21-12,3,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files
DEF,Steelers DEF,@CLE,W 21-18,16,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files
BN,D. Jackson,BYE,BYE,0,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files
BN,D. Brees,@MIN,L 19-29,15.64,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files
BN,E. Ebron,ARI,W 35-23,0.9,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files
BN,J. Landry,BYE,BYE,0,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files
BN,R. Kelley,PHI,L 17-30,3,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files
BN,Seahawks DEF,@GB,L 9-17,7,2017,1,Rui's Crew,78.02,Suit Up,76.74,Patrick,Files
QB,M. Mariota,LV,L 16-26,18.84,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick
RB,M. Gordon,@DEN,L 21-24,13.9,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick
RB,L. Fournette,@HOU,W 29-7,18.4,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick
WR,L. Fitzgerald,@DET,L 23-35,7.4,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick
WR,T. Hilton,@LAR,L 9-46,3.7,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick
TE,G. Olsen,@SF,W 23-3,1.8,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick
FLEX,D. Woodhead,@CIN,W 20-0,3.7,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick
K,J. Tucker,@CIN,W 20-0,6,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick
DEF,Chiefs DEF,@NE,W 42-27,3,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick
BN,E. Lacy,@GB,L 9-17,0.3,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick
BN,M. Evans,BYE,BYE,0,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick
BN,D. Moncrief,@LAR,L 9-46,5,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick
BN,J. Winston,BYE,BYE,0,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick
BN,J. Crowder,PHI,L 17-30,-0.6,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick
BN,J. Mixon,BAL,L 0-20,2.4,2017,1,Suit Up,76.74,Rui's Crew,78.02,Files,Patrick
QB,M. Ryan,@CHI,W 23-17,17.94,2017,1,Leschke-Ultras,75.54,Die EXperten,106.48,Walter,Markus
RB,J. Stewart,@SF,W 23-3,14.2,2017,1,Leschke-Ultras,75.54,Die EXperten,106.48,Walter,Markus
RB,C. Anderson,LAC,W 24-21,8.8,2017,1,Leschke-Ultras,75.54,Die EXperten,106.48,Walter,Markus
WR,A. Green,BAL,L 0-20,7.4,2017,1,Leschke-Ultras,75.54,Die EXperten,106.48,Walter,Markus
WR,D. Baldwin,@GB,L 9-17,6,2017,1,Leschke-Ultras,75.54,Die EXperten,106.48,Walter,Markus
TE,J. Graham,@GB,L 9-17,0.8,2017,1,Leschke-Ultras,75.54,Die EXperten,106.48,Walter,Markus
FLEX,G. Tate,ARI,W 35-23,11.4,2017,1,Leschke-Ultras,75.54,Die EXperten,106.48,Walter,Markus
K,C. Santos,ATL,L 17-23,6,2017,1,Leschke-Ultras,75.54,Die EXperten,106.48,Walter,Markus
DEF,Broncos DEF,LAC,W 24-21,3,2017,1,Leschke-Ultras,75.54,Die EXperten,106.48,Walter,Markus
BN,R. Wilson,@GB,L 9-17,8.32,2017,1,Leschke-Ultras,75.54,Die EXperten,106.48,Walter,Markus
BN,T. Riddick,ARI,W 35-23,8.6,2017,1,Leschke-Ultras,75.54,Die EXperten,106.48,Walter,Markus
BN,Z. Ertz,@WAS,W 30-17,9.3,2017,1,Leschke-Ultras,75.54,Die EXperten,106.48,Walter,Markus
BN,K. Benjamin,NYJ,W 21-12,2.5,2017,1,Leschke-Ultras,75.54,Die EXperten,106.48,Walter,Markus
BN,W. Snead,@MIN,L 19-29,0,2017,1,Leschke-Ultras,75.54,Die EXperten,106.48,Walter,Markus
BN,J. Ajayi,@WAS,W 30-17,0,2017,1,Leschke-Ultras,75.54,Die EXperten,106.48,Walter,Markus
QB,M. Stafford,ARI,W 35-23,27.08,2017,1,Die EXperten,106.48,Leschke-Ultras,75.54,Markus,Walter
RB,T. Montgomery,SEA,W 17-9,15.3,2017,1,Die EXperten,106.48,Leschke-Ultras,75.54,Markus,Walter
RB,J. Howard,ATL,L 17-23,12.6,2017,1,Die EXperten,106.48,Leschke-Ultras,75.54,Markus,Walter
WR,A. Brown,@CLE,W 21-18,18.2,2017,1,Die EXperten,106.48,Leschke-Ultras,75.54,Markus,Walter
WR,D. Hopkins,JAX,L 7-29,11.5,2017,1,Die EXperten,106.48,Leschke-Ultras,75.54,Markus,Walter
TE,J. Reed,PHI,L 17-30,3.6,2017,1,Die EXperten,106.48,Leschke-Ultras,75.54,Markus,Walter
FLEX,M. Lynch,@TEN,W 26-16,9.2,2017,1,Die EXperten,106.48,Leschke-Ultras,75.54,Markus,Walter
K,C. Catanzaro,@BUF,L 12-21,9,2017,1,Die EXperten,106.48,Leschke-Ultras,75.54,Markus,Walter
DEF,Texans DEF,JAX,L 7-29,0,2017,1,Die EXperten,106.48,Leschke-Ultras,75.54,Markus,Walter
BN,E. Sanders,LAC,W 24-21,2.6,2017,1,Die EXperten,106.48,Leschke-Ultras,75.54,Markus,Walter
BN,A. Luck,@LAR,L 9-46,0,2017,1,Die EXperten,106.48,Leschke-Ultras,75.54,Markus,Walter
BN,S. Watkins,IND,W 46-9,5.8,2017,1,Die EXperten,106.48,Leschke-Ultras,75.54,Markus,Walter
BN,A. Abdullah,ARI,W 35-23,4.1,2017,1,Die EXperten,106.48,Leschke-Ultras,75.54,Markus,Walter
BN,S. Diggs,NO,W 29-19,20.7,2017,1,Die EXperten,106.48,Leschke-Ultras,75.54,Markus,Walter
BN,C. McCaffrey,@SF,W 23-3,6.5,2017,1,Die EXperten,106.48,Leschke-Ultras,75.54,Markus,Walter
QB,T. Brady,KC,L 27-42,10.68,2017,1,Goldcity,77.38,The Manning Faced God,92.1,Hagen,Bauer
RB,L. McCoy,NYJ,W 21-12,15.9,2017,1,Goldcity,77.38,The Manning Faced God,92.1,Hagen,Bauer
RB,C. Hyde,CAR,L 3-23,7.7,2017,1,Goldcity,77.38,The Manning Faced God,92.1,Hagen,Bauer
WR,B. Cooks,KC,L 27-42,8.8,2017,1,Goldcity,77.38,The Manning Faced God,92.1,Hagen,Bauer
WR,M. Thomas,@MIN,L 19-29,4.5,2017,1,Goldcity,77.38,The Manning Faced God,92.1,Hagen,Bauer
TE,K. Rudolph,NO,W 29-19,8.6,2017,1,Goldcity,77.38,The Manning Faced God,92.1,Hagen,Bauer
FLEX,F. Gore,@LAR,L 9-46,5.2,2017,1,Goldcity,77.38,The Manning Faced God,92.1,Hagen,Bauer
K,D. Bailey,NYG,W 19-3,14,2017,1,Goldcity,77.38,The Manning Faced God,92.1,Hagen,Bauer
DEF,Vikings DEF,NO,W 29-19,2,2017,1,Goldcity,77.38,The Manning Faced God,92.1,Hagen,Bauer
BN,M. Forte,@BUF,L 12-21,3.6,2017,1,Goldcity,77.38,The Manning Faced God,92.1,Hagen,Bauer
BN,P. Garcon,CAR,L 3-23,8.1,2017,1,Goldcity,77.38,The Manning Faced God,92.1,Hagen,Bauer
BN,M. Crabtree,@TEN,W 26-16,8.3,2017,1,Goldcity,77.38,The Manning Faced God,92.1,Hagen,Bauer
BN,L. Blount,@WAS,W 30-17,10.7,2017,1,Goldcity,77.38,The Manning Faced God,92.1,Hagen,Bauer
BN,D. Carr,@TEN,W 26-16,18.68,2017,1,Goldcity,77.38,The Manning Faced God,92.1,Hagen,Bauer
BN,Falcons DEF,@CHI,W 23-17,5,2017,1,Goldcity,77.38,The Manning Faced God,92.1,Hagen,Bauer
QB,K. Cousins,PHI,L 17-30,10.6,2017,1,The Manning Faced God,92.1,Goldcity,77.38,Bauer,Hagen
RB,M. Gillislee,KC,L 27-42,22.5,2017,1,The Manning Faced God,92.1,Goldcity,77.38,Bauer,Hagen
RB,D. Freeman,@CHI,W 23-17,9.9,2017,1,The Manning Faced God,92.1,Goldcity,77.38,Bauer,Hagen
WR,T. Pryor,PHI,L 17-30,6.6,2017,1,The Manning Faced God,92.1,Goldcity,77.38,Bauer,Hagen
WR,A. Cooper,@TEN,W 26-16,12.2,2017,1,The Manning Faced God,92.1,Goldcity,77.38,Bauer,Hagen
TE,R. Gronkowski,KC,L 27-42,3.3,2017,1,The Manning Faced God,92.1,Goldcity,77.38,Bauer,Hagen
FLEX,B. Marshall,@DAL,L 3-19,1,2017,1,The Manning Faced God,92.1,Goldcity,77.38,Bauer,Hagen
K,M. Bryant,@CHI,W 23-17,11,2017,1,The Manning Faced God,92.1,Goldcity,77.38,Bauer,Hagen
DEF,Panthers DEF,@SF,W 23-3,15,2017,1,The Manning Faced God,92.1,Goldcity,77.38,Bauer,Hagen
BN,D. McFadden RB,BYE,BYE,0,2017,1,The Manning Faced God,92.1,Goldcity,77.38,Bauer,Hagen
BN,A. Peterson,@DET,L 23-35,1.8,2017,1,The Manning Faced God,92.1,Goldcity,77.38,Bauer,Hagen
BN,D. Adams,SEA,W 17-9,4.7,2017,1,The Manning Faced God,92.1,Goldcity,77.38,Bauer,Hagen
BN,O. Beckham,@DAL,L 3-19,0,2017,1,The Manning Faced God,92.1,Goldcity,77.38,Bauer,Hagen
BN,D. Parker,BYE,BYE,0,2017,1,The Manning Faced God,92.1,Goldcity,77.38,Bauer,Hagen
BN,D. Prescott,NYG,W 19-3,17.12,2017,1,The Manning Faced God,92.1,Goldcity,77.38,Bauer,Hagen
QB,C. Palmer,@IND,W 16-13,15.88,2017,2,Le'Veon A Prayer,93.38,Suit Up,86.56,Hubner,Files
RB,L. Bell,MIN,W 26-9,9.1,2017,2,Le'Veon A Prayer,93.38,Suit Up,86.56,Hubner,Files
RB,K. Hunt,PHI,W 27-20,22.9,2017,2,Le'Veon A Prayer,93.38,Suit Up,86.56,Hubner,Files
WR,J. Nelson,@ATL,L 23-34,0,2017,2,Le'Veon A Prayer,93.38,Suit Up,86.56,Hubner,Files
WR,K. Allen,MIA,L 17-19,10,2017,2,Le'Veon A Prayer,93.38,Suit Up,86.56,Hubner,Files
TE,T. Kelce,PHI,W 27-20,16.3,2017,2,Le'Veon A Prayer,93.38,Suit Up,86.56,Hubner,Files
FLEX,E. Elliott,@DEN,L 17-42,2.2,2017,2,Le'Veon A Prayer,93.38,Suit Up,86.56,Hubner,Files
K,G. Tavecchio,NYJ,W 45-20,8,2017,2,Le'Veon A Prayer,93.38,Suit Up,86.56,Hubner,Files
DEF,Raiders DEF,NYJ,W 45-20,9,2017,2,Le'Veon A Prayer,93.38,Suit Up,86.56,Hubner,Files
BN,D. Thomas,DAL,W 42-17,7.1,2017,2,Le'Veon A Prayer,93.38,Suit Up,86.56,Hubner,Files
BN,D. Martin,CHI,W 29-7,0,2017,2,Le'Veon A Prayer,93.38,Suit Up,86.56,Hubner,Files
BN,M. Bryant,MIN,W 26-9,15.8,2017,2,Le'Veon A Prayer,93.38,Suit Up,86.56,Hubner,Files
BN,T. Coleman,GB,W 34-23,10.5,2017,2,Le'Veon A Prayer,93.38,Suit Up,86.56,Hubner,Files
BN,D. Henry,@JAX,W 37-16,15.2,2017,2,Le'Veon A Prayer,93.38,Suit Up,86.56,Hubner,Files
BN,D. Cook,@PIT,L 9-26,6.4,2017,2,Le'Veon A Prayer,93.38,Suit Up,86.56,Hubner,Files
QB,J. Winston,CHI,W 29-7,12.46,2017,2,Suit Up,86.56,Le'Veon A Prayer,93.38,Files,Hubner
RB,M. Gordon,MIA,L 17-19,13.8,2017,2,Suit Up,86.56,Le'Veon A Prayer,93.38,Files,Hubner
RB,L. Fournette,TEN,L 16-37,12.1,2017,2,Suit Up,86.56,Le'Veon A Prayer,93.38,Files,Hubner
WR,C. Hogan,@NO,W 36-20,13.8,2017,2,Suit Up,86.56,Le'Veon A Prayer,93.38,Files,Hubner
WR,M. Evans,CHI,W 29-7,15.3,2017,2,Suit Up,86.56,Le'Veon A Prayer,93.38,Files,Hubner
TE,G. Olsen,BUF,W 9-3,1,2017,2,Suit Up,86.56,Le'Veon A Prayer,93.38,Files,Hubner
FLEX,L. Fitzgerald,@IND,W 16-13,2.1,2017,2,Suit Up,86.56,Le'Veon A Prayer,93.38,Files,Hubner
K,J. Tucker,CLE,W 24-10,5,2017,2,Suit Up,86.56,Le'Veon A Prayer,93.38,Files,Hubner
DEF,Chiefs DEF,PHI,W 27-20,11,2017,2,Suit Up,86.56,Le'Veon A Prayer,93.38,Files,Hubner
BN,R. Cobb,@ATL,L 23-34,7,2017,2,Suit Up,86.56,Le'Veon A Prayer,93.38,Files,Hubner
BN,T. Hilton,ARI,L 13-16,4.9,2017,2,Suit Up,86.56,Le'Veon A Prayer,93.38,Files,Hubner
BN,E. Lacy,SF,W 12-9,0,2017,2,Suit Up,86.56,Le'Veon A Prayer,93.38,Files,Hubner
BN,D. Moncrief,ARI,L 13-16,1.8,2017,2,Suit Up,86.56,Le'Veon A Prayer,93.38,Files,Hubner
BN,M. Mariota,@JAX,W 37-16,13,2017,2,Suit Up,86.56,Le'Veon A Prayer,93.38,Files,Hubner
BN,J. Mixon,HOU,L 9-13,4.1,2017,2,Suit Up,86.56,Le'Veon A Prayer,93.38,Files,Hubner
QB,D. Carr,NYJ,W 45-20,21.2,2017,2,Goldcity,88.2,Rui's Crew,98.04,Hagen,Patrick
RB,L. McCoy,@CAR,L 3-9,4.3,2017,2,Goldcity,88.2,Rui's Crew,98.04,Hagen,Patrick
RB,C. Hyde,@SEA,L 9-12,14.3,2017,2,Goldcity,88.2,Rui's Crew,98.04,Hagen,Patrick
WR,M. Crabtree,NYJ,W 45-20,26,2017,2,Goldcity,88.2,Rui's Crew,98.04,Hagen,Patrick
WR,M. Thomas,NE,L 20-36,8.9,2017,2,Goldcity,88.2,Rui's Crew,98.04,Hagen,Patrick
TE,K. Rudolph,@PIT,L 9-26,4.5,2017,2,Goldcity,88.2,Rui's Crew,98.04,Hagen,Patrick
FLEX,L. Blount,@KC,L 20-27,0,2017,2,Goldcity,88.2,Rui's Crew,98.04,Hagen,Patrick
K,D. Bailey,@DEN,L 17-42,7,2017,2,Goldcity,88.2,Rui's Crew,98.04,Hagen,Patrick
DEF,Vikings DEF,@PIT,L 9-26,2,2017,2,Goldcity,88.2,Rui's Crew,98.04,Hagen,Patrick
BN,M. Forte,@LV,L 20-45,9.1,2017,2,Goldcity,88.2,Rui's Crew,98.04,Hagen,Patrick
BN,P. Garcon,@SEA,L 9-12,2.6,2017,2,Goldcity,88.2,Rui's Crew,98.04,Hagen,Patrick
BN,T. Brady,@NO,W 36-20,30.78,2017,2,Goldcity,88.2,Rui's Crew,98.04,Hagen,Patrick
BN,F. Gore,ARI,L 13-16,10.6,2017,2,Goldcity,88.2,Rui's Crew,98.04,Hagen,Patrick
BN,B. Cooks,@NO,W 36-20,4.3,2017,2,Goldcity,88.2,Rui's Crew,98.04,Hagen,Patrick
BN,Falcons DEF,GB,W 34-23,13,2017,2,Goldcity,88.2,Rui's Crew,98.04,Hagen,Patrick
QB,D. Brees,NE,L 20-36,22.24,2017,2,Rui's Crew,98.04,Goldcity,88.2,Patrick,Hagen
RB,T. Gurley,WAS,L 20-27,23.6,2017,2,Rui's Crew,98.04,Goldcity,88.2,Patrick,Hagen
RB,R. Kelley,@LAR,W 27-20,7.8,2017,2,Rui's Crew,98.04,Goldcity,88.2,Patrick,Hagen
WR,D. Bryant,@DEN,L 17-42,11.9,2017,2,Rui's Crew,98.04,Goldcity,88.2,Patrick,Hagen
WR,J. Landry,@LAC,W 19-17,7.1,2017,2,Rui's Crew,98.04,Goldcity,88.2,Patrick,Hagen
TE,D. Walker,@JAX,W 37-16,12.2,2017,2,Rui's Crew,98.04,Goldcity,88.2,Patrick,Hagen
FLEX,K. Williams,@IND,W 16-13,2.2,2017,2,Rui's Crew,98.04,Goldcity,88.2,Patrick,Hagen
K,B. Walsh,SF,W 12-9,3,2017,2,Rui's Crew,98.04,Goldcity,88.2,Patrick,Hagen
DEF,Seahawks DEF,SF,W 12-9,8,2017,2,Rui's Crew,98.04,Goldcity,88.2,Patrick,Hagen
BN,D. Jackson,CHI,W 29-7,3.9,2017,2,Rui's Crew,98.04,Goldcity,88.2,Patrick,Hagen
BN,J. Cook,NYJ,W 45-20,2.5,2017,2,Rui's Crew,98.04,Goldcity,88.2,Patrick,Hagen
BN,M. Ingram,NE,L 20-36,7.6,2017,2,Rui's Crew,98.04,Goldcity,88.2,Patrick,Hagen
BN,B. Roethlisberger,MIN,W 26-9,17.52,2017,2,Rui's Crew,98.04,Goldcity,88.2,Patrick,Hagen
BN,D. Johnson,@IND,W 16-13,0,2017,2,Rui's Crew,98.04,Goldcity,88.2,Patrick,Hagen
BN,Steelers DEF,MIN,W 26-9,8,2017,2,Rui's Crew,98.04,Goldcity,88.2,Patrick,Hagen
QB,M. Ryan,GB,W 34-23,14.88,2017,2,Leschke-Ultras,92.08,Kung Suh Panda,80.62,Walter,Tobsenheimi
RB,C. Anderson,DAL,W 42-17,27.4,2017,2,Leschke-Ultras,92.08,Kung Suh Panda,80.62,Walter,Tobsenheimi
RB,J. Ajayi,@KC,L 20-27,12.6,2017,2,Leschke-Ultras,92.08,Kung Suh Panda,80.62,Walter,Tobsenheimi
WR,A. Green,HOU,L 9-13,6.7,2017,2,Leschke-Ultras,92.08,Kung Suh Panda,80.62,Walter,Tobsenheimi
WR,D. Baldwin,SF,W 12-9,4.4,2017,2,Leschke-Ultras,92.08,Kung Suh Panda,80.62,Walter,Tobsenheimi
TE,J. Graham,SF,W 12-9,0.1,2017,2,Leschke-Ultras,92.08,Kung Suh Panda,80.62,Walter,Tobsenheimi
FLEX,J. Stewart,BUF,W 9-3,4,2017,2,Leschke-Ultras,92.08,Kung Suh Panda,80.62,Walter,Tobsenheimi
K,C. Santos,@TB,L 7-29,9,2017,2,Leschke-Ultras,92.08,Kung Suh Panda,80.62,Walter,Tobsenheimi
DEF,Broncos DEF,DAL,W 42-17,13,2017,2,Leschke-Ultras,92.08,Kung Suh Panda,80.62,Walter,Tobsenheimi
BN,G. Tate,@NYG,W 24-10,2.5,2017,2,Leschke-Ultras,92.08,Kung Suh Panda,80.62,Walter,Tobsenheimi
BN,R. Wilson,SF,W 12-9,15.32,2017,2,Leschke-Ultras,92.08,Kung Suh Panda,80.62,Walter,Tobsenheimi
BN,T. Riddick,@NYG,W 24-10,3.7,2017,2,Leschke-Ultras,92.08,Kung Suh Panda,80.62,Walter,Tobsenheimi
BN,Z. Ertz,@KC,L 20-27,9.7,2017,2,Leschke-Ultras,92.08,Kung Suh Panda,80.62,Walter,Tobsenheimi
BN,K. Benjamin,@CAR,L 3-9,7.7,2017,2,Leschke-Ultras,92.08,Kung Suh Panda,80.62,Walter,Tobsenheimi
BN,W. Snead,NE,L 20-36,0,2017,2,Leschke-Ultras,92.08,Kung Suh Panda,80.62,Walter,Tobsenheimi
QB,A. Rodgers,@ATL,L 23-34,18.52,2017,2,Kung Suh Panda,80.62,Leschke-Ultras,92.08,Tobsenheimi,Walter
RB,D. Murray,@JAX,W 37-16,2.8,2017,2,Kung Suh Panda,80.62,Leschke-Ultras,92.08,Tobsenheimi,Walter
RB,L. Miller,@CIN,W 13-9,8.7,2017,2,Kung Suh Panda,80.62,Leschke-Ultras,92.08,Tobsenheimi,Walter
WR,J. Jones,GB,W 34-23,10.8,2017,2,Kung Suh Panda,80.62,Leschke-Ultras,92.08,Tobsenheimi,Walter
WR,T. Hill,PHI,W 27-20,4.9,2017,2,Kung Suh Panda,80.62,Leschke-Ultras,92.08,Tobsenheimi,Walter
TE,T. Eifert,HOU,L 9-13,4.2,2017,2,Kung Suh Panda,80.62,Leschke-Ultras,92.08,Tobsenheimi,Walter
FLEX,J. Rodgers,CHI,W 29-7,12.7,2017,2,Kung Suh Panda,80.62,Leschke-Ultras,92.08,Tobsenheimi,Walter
K,S. Gostkowski,@NO,W 36-20,8,2017,2,Kung Suh Panda,80.62,Leschke-Ultras,92.08,Tobsenheimi,Walter
DEF,Cardinals DEF,@IND,W 16-13,10,2017,2,Kung Suh Panda,80.62,Leschke-Ultras,92.08,Tobsenheimi,Walter
BN,B. Powell,@LV,L 20-45,1.3,2017,2,Kung Suh Panda,80.62,Leschke-Ultras,92.08,Tobsenheimi,Walter
BN,C. Newton,BUF,W 9-3,11.82,2017,2,Kung Suh Panda,80.62,Leschke-Ultras,92.08,Tobsenheimi,Walter
BN,A. Jeffery,@KC,L 20-27,15.2,2017,2,Kung Suh Panda,80.62,Leschke-Ultras,92.08,Tobsenheimi,Walter
BN,I. Crowell,@BAL,L 10-24,3.7,2017,2,Kung Suh Panda,80.62,Leschke-Ultras,92.08,Tobsenheimi,Walter
BN,A. Hurns,TEN,L 16-37,14.2,2017,2,Kung Suh Panda,80.62,Leschke-Ultras,92.08,Tobsenheimi,Walter
BN,Patriots DEF,@NO,W 36-20,2,2017,2,Kung Suh Panda,80.62,Leschke-Ultras,92.08,Tobsenheimi,Walter
QB,K. Cousins,@LAR,W 27-20,11.86,2017,2,The Manning Faced God,117.66,Die EXperten,85.08,Bauer,Markus
RB,M. Gillislee,@NO,W 36-20,12.9,2017,2,The Manning Faced God,117.66,Die EXperten,85.08,Bauer,Markus
RB,D. Freeman,GB,W 34-23,22,2017,2,The Manning Faced God,117.66,Die EXperten,85.08,Bauer,Markus
WR,T. Pryor,@LAR,W 27-20,3.1,2017,2,The Manning Faced God,117.66,Die EXperten,85.08,Bauer,Markus
WR,A. Cooper,NYJ,W 45-20,3.3,2017,2,The Manning Faced God,117.66,Die EXperten,85.08,Bauer,Markus
TE,R. Gronkowski,@NO,W 36-20,17.6,2017,2,The Manning Faced God,117.66,Die EXperten,85.08,Bauer,Markus
FLEX,D. Adams,@ATL,L 23-34,15.9,2017,2,The Manning Faced God,117.66,Die EXperten,85.08,Bauer,Markus
K,M. Bryant,GB,W 34-23,14,2017,2,The Manning Faced God,117.66,Die EXperten,85.08,Bauer,Markus
