year,week,team_winner,manager_winner,team_loser,manager_loser,score_winner,score_loser
2018,16,Leschke-Ultras,Walter,mod s0beit,Simon,113.46,49.14
2018,16,Master of Disaster,Stumpf,Die EXperten,Markus,126.68,101.06
2018,16,RoadToGlory,Andi,Goldcity,Hagen,87.2,65.8
2019,1,Angst Potter,Hubner,Master of Disaster,Stumpf,157.46,112.64
2019,1,N'Keal and the Hyde B Fitz,Ha,Goldcity,Hagen,138.02,120.24
2019,1,Rui's Crew,Patrick,Big Dick Nick,Tobsenheimi,103.4,76.12
2019,1,Die EXperten,Markus,I dont feel so good,Bauer,115.76,109.22
2019,1,White Broncos,Malte,Sportfreunde Speasy,Speasy,173.52,107.8
2019,2,I dont feel so good,Bauer,Angst Potter,Hubner,169.44,90.68
2019,2,Big Dick Nick,Tobsenheimi,Master of Disaster,Stumpf,127.66,78.72
2019,2,Die EXperten,Markus,N'Keal and the Hyde B Fitz,Ha,130.96,114.26
2019,2,Goldcity,Hagen,White Broncos,Malte,128.2,126.02
2019,2,Rui's Crew,Patrick,Sportfreunde Speasy,Speasy,112.12,82.1
2019,3,Angst Potter,Hubner,N'Keal and the Hyde B Fitz,Ha,134.08,125.14
2019,3,Die EXperten,Markus,White Broncos,Malte,135.34,132.76
2019,3,Master of Disaster,Stumpf,I dont feel so good,Bauer,167.42,113.94
2019,3,Sportfreunde Speasy,Speasy,Big Dick Nick,Tobsenheimi,133.4,94.2
2019,3,Goldcity,Hagen,Rui's Crew,Patrick,125.06,95.92
2019,4,Angst Potter,Hubner,Die EXperten,Markus,115.68,109.72
2019,4,I dont feel so good,Bauer,Sportfreunde Speasy,Speasy,153.4,104.1
2019,4,White Broncos,Malte,Rui's Crew,Patrick,117.8,88.3
2019,4,Master of Disaster,Stumpf,N'Keal and the Hyde B Fitz,Ha,139.5,109.1
2019,4,Big Dick Nick,Tobsenheimi,Goldcity,Hagen,111.78,96.68
2019,5,Rui's Crew,Patrick,Angst Potter,Hubner,100.78,98.06
2019,5,N'Keal and the Hyde B Fitz,Ha,I dont feel so good,Bauer,155.54,101.06
2019,5,Goldcity,Hagen,Sportfreunde Speasy,Speasy,178.8,177.02
2019,5,Die EXperten,Markus,Master of Disaster,Stumpf,164.82,136.46
2019,5,Big Dick Nick,Tobsenheimi,White Broncos,Malte,123.02,88.54
2019,6,Sportfreunde Speasy,Speasy,Angst Potter,Hubner,109.06,105.34
2019,6,Goldcity,Hagen,Master of Disaster,Stumpf,114.54,108.9
2019,6,Die EXperten,Markus,Big Dick Nick,Tobsenheimi,116.22,101.32
2019,6,I dont feel so good,Bauer,White Broncos,Malte,131.64,112.32
2019,6,N'Keal and the Hyde B Fitz,Ha,Rui's Crew,Patrick,155.9,86.54
2019,7,Angst Potter,Hubner,White Broncos,Malte,81.92,59.56
2019,7,Die EXperten,Markus,Goldcity,Hagen,100.96,79.06
2019,7,Big Dick Nick,Tobsenheimi,I dont feel so good,Bauer,157.16,131.74
2019,7,N'Keal and the Hyde B Fitz,Ha,Sportfreunde Speasy,Speasy,124.94,80.46
2019,7,Rui's Crew,Patrick,Master of Disaster,Stumpf,103.82,93.48
2019,8,Big Dick Nick,Tobsenheimi,Angst Potter,Hubner,157.6,109.96
2019,8,I dont feel so good,Bauer,Goldcity,Hagen,175.68,140.2
2019,8,N'Keal and the Hyde B Fitz,Ha,White Broncos,Malte,121.56,88.6
2019,8,Master of Disaster,Stumpf,Sportfreunde Speasy,Speasy,157.04,104.46
2019,8,Die EXperten,Markus,Rui's Crew,Patrick,113,85.72
2019,9,Angst Potter,Hubner,Goldcity,Hagen,129.42,100.68
2019,9,N'Keal and the Hyde B Fitz,Ha,I dont feel so good,Bauer,141.82,128.94
2019,9,Rui's Crew,Patrick,Big Dick Nick,Tobsenheimi,129.9,87.64
2019,9,Die EXperten,Markus,Master of Disaster,Stumpf,128.78,72.3
2019,9,Sportfreunde Speasy,Speasy,White Broncos,Malte,166.8,139.24
2019,10,Angst Potter,Hubner,Master of Disaster,Stumpf,137.32,97.02
2019,10,N'Keal and the Hyde B Fitz,Ha,Big Dick Nick,Tobsenheimi,168.28,126.32
2019,10,Goldcity,Hagen,White Broncos,Malte,127.28,118.66
2019,10,Die EXperten,Markus,I dont feel so good,Bauer,142.48,116.14
2019,10,Sportfreunde Speasy,Speasy,Rui's Crew,Patrick,103.38,76.98
2019,11,Angst Potter,Hubner,I dont feel so good,Bauer,142.08,127.54
2019,11,White Broncos,Malte,Master of Disaster,Stumpf,109.4,66.82
2019,11,N'Keal and the Hyde B Fitz,Ha,Die EXperten,Markus,107.66,102.78
2019,11,Big Dick Nick,Tobsenheimi,Sportfreunde Speasy,Speasy,146.34,120.64
2019,11,Rui's Crew,Patrick,Goldcity,Hagen,117.62,87.34
2019,12,Angst Potter,Hubner,N'Keal and the Hyde B Fitz,Ha,132.36,120.1
2019,12,Sportfreunde Speasy,Speasy,Die EXperten,Markus,137.2,74.78
2019,12,Master of Disaster,Stumpf,I dont feel so good,Bauer,109.72,108.08
2019,12,White Broncos,Malte,Rui's Crew,Patrick,128.7,72.54
2019,12,Goldcity,Hagen,Big Dick Nick,Tobsenheimi,86.74,79.38
2019,13,Angst Potter,Hubner,Die EXperten,Markus,130.3,109.84
2019,13,Rui's Crew,Patrick,I dont feel so good,Bauer,111.16,104.32
2019,13,Sportfreunde Speasy,Speasy,Goldcity,Hagen,108.54,92.68
2019,13,N'Keal and the Hyde B Fitz,Ha,Master of Disaster,Stumpf,121.4,110.02
2019,13,Big Dick Nick,Tobsenheimi,White Broncos,Malte,100.92,80.04
2019,14,Angst Potter,Hubner,Sportfreunde Speasy,Speasy,132.8,114.66
2019,14,Rui's Crew,Patrick,Die EXperten,Markus,156.92,93.68
2019,15,Angst Potter,Hubner,Big Dick Nick,Tobsenheimi,136.58,106.76
2019,15,Goldcity,Hagen,Master of Disaster,Stumpf,158.9,93.32
2019,15,I dont feel so good,Bauer,White Broncos,Malte,181.48,109.5
2019,15,Rui's Crew,Patrick,N'Keal and the Hyde B Fitz,Ha,158.68,134.12
2019,16,Angst Potter,Hubner,Rui's Crew,Patrick,133.72,122.26
2019,16,Goldcity,Hagen,I dont feel so good,Bauer,160.56,153.76
2019,16,Master of Disaster,Stumpf,White Broncos,Malte,87.1,82.94
2019,16,Big Dick Nick,Tobsenheimi,N'Keal and the Hyde B Fitz,Ha,127.58,101.86
2019,16,Sportfreunde Speasy,Speasy,Die EXperten,Markus,151.66,78.5
2020,1,TheRealBauer,Bauer,Hubner,Hubner,134.9,110.1
2020,1,seb44,Hagen,MarkusEXperte,Markus,132.8,120.04
